Fecha,Producto,Variedad,Precio Mínimo,Precio Promedio,Precio Máximo
01/07/2017,Aceite,Aceite Alsol De 18 Lt.,4.56,4.59,4.61
01/07/2017,Aceite,Aceite Clásico Botella X 1l,6.42,6.46,6.50
01/07/2017,Aceite,Aceite Cocinero 12 X 1 Lt.,6.04,6.07,6.08
01/07/2017,Ajo,Ajo Criollo O Napuri,3.50,3.70,4.00
01/07/2017,Ajo,Ajo Morado,7.00,7.18,7.50
01/07/2017,Apio,Apio,2.67,2.83,3.00
01/07/2017,Arroz,Arroz Corriente,2.18,2.19,2.20
01/07/2017,Arroz,Arroz Costeño Graneadito 20 Unid. X,3.70,3.72,3.73
01/07/2017,Arroz,Arroz Extra,2.80,2.81,2.82
01/07/2017,Arroz,Arroz Importado Uruguayo,3.17,3.18,3.18
01/07/2017,Arroz,Arroz Superior,2.35,2.35,2.36
01/07/2017,Arroz,Arroz Superior Despuntado,2.53,2.54,2.55
01/07/2017,Azucar Comercial,Azucar Blanca Importada,2.51,2.52,2.53
01/07/2017,Azucar Comercial,Azucar Blanca Laredo,2.54,2.55,2.56
01/07/2017,Azucar Comercial,Azucar Blanca Paramonga,2.58,2.60,2.62
01/07/2017,Azucar Comercial,Azucar Rubia Andahuasi,2.36,2.37,2.38
01/07/2017,Azucar Comercial,Azucar Rubia Cartavio,2.43,2.44,2.44
01/07/2017,Azucar Comercial,Azucar Rubia Importada,2.28,2.31,2.34
01/07/2017,Azucar Comercial,Azucar Rubia Laredo,2.36,2.39,2.40
01/07/2017,Azucar Comercial,Azucar Rubia Paramonga,2.44,2.46,2.48
01/07/2017,Azucar Comercial,Azucar Rubia Pomalca,2.38,2.39,2.40
01/07/2017,Azucar Comercial,Azucar Rubia Pucala,2.36,2.37,2.38
01/07/2017,Azucar Comercial,Azucar Rubia San Jacinto,2.42,2.44,2.44
01/07/2017,Cebolla,Cebolla Cabeza Blanca,1.50,1.60,1.70
01/07/2017,Cebolla,Cebolla Cabeza Roja,1.40,1.45,1.50
01/07/2017,Cebolla,Cebolla China,1.30,1.43,1.50
01/07/2017,Huevos,Huevos Rosados,5.00,5.05,5.10
01/07/2017,Leche,Leche Evaporada 410 G,2.91,2.91,2.92
01/07/2017,Leche,Leche Fresca Gloria En Bolsa ( 12 Bolsas De Litro),3.08,3.09,3.10
01/07/2017,Leche,Leche Ideal Azul / Calcio 400gr X 48 Latas,2.77,2.77,2.77
01/07/2017,Limon,Limon Sutil Bolsa,1.78,1.83,1.89
